date,gas_nominal,cpi,source_flag,gas_real,gas_real_12mo
1978-01-01,0.631,62.7,official,3.32317271106858,3.32317271106858
1978-02-01,0.629,63.0,official,3.2968652008888886,3.3100189559787343
1978-03-01,0.629,63.4,official,3.276064789526813,3.2987009004947603
1978-04-01,0.631,63.9,official,3.260765711799687,3.289217103320992
1978-05-01,0.637,64.5,official,3.2611502785736426,3.2836037383715224
1978-06-01,0.645,65.0,official,3.276705819692307,3.2824540852583195
1978-07-01,0.655,65.5,official,3.30210664,3.2789430734135565
1978-08-01,0.663,65.9,official,3.3221497759028824,3.283157169249222
1978-09-01,0.669,66.5,official,3.321968935578947,3.2908078602579107
1978-10-01,0.671,67.1,official,3.3021066400000003,3.297698014957963
1978-11-01,0.676,67.5,official,3.3069986498370367,3.305339410168529
1978-12-01,0.685,67.9,official,3.3312857855670095,3.314436071147646
1979-01-01,0.695,68.5,official,3.3503125763503645,3.3224703938727065
1979-02-01,0.707,69.2,official,3.3736840960693635,3.331059447233786
1979-03-01,0.733,69.9,official,3.462724130357653,3.354518646363571
1979-04-01,0.78,70.6,official,3.6482198005665722,3.412204173124666
1979-05-01,0.823,71.4,official,3.806209754509803,3.495406023903461
1979-06-01,0.88,72.2,official,4.0247283146814405,3.610979778755866
1979-07-01,0.93,73.0,official,4.206793390684931,3.75372658114496
1979-08-01,0.967,73.7,official,4.332614818018995,3.9135483681365657
1979-09-01,0.998,74.4,official,4.429438745591397,4.074667470675523
1979-10-01,1.006,75.2,official,4.417445850851062,4.202871812389605
1979-11-01,1.019,76.0,official,4.427429823894736,4.306408490620426
1979-12-01,1.042,76.9,official,4.474375967334199,4.381349766062553
1980-01-01,1.11,78.0,official,4.699151756923076,4.4634094937689115
1980-02-01,1.186,79.0,official,4.957339841822783,4.567530331069542
1980-03-01,1.23,80.1,official,5.070650645692884,4.674398981086457
1980-04-01,1.242,80.9,official,5.0694888094932,4.783072807526813
1980-05-01,1.244,81.7,official,5.027932264577722,4.883156547640644
1980-06-01,1.246,82.5,official,4.987181664775757,4.968624163880904
1980-07-01,1.247,82.6,official,4.985141622372881,5.016289141455871
1980-08-01,1.243,83.2,official,4.933315569134614,5.012285096007843
1980-09-01,1.231,83.9,official,4.844926428891537,4.974664393207618
1980-10-01,1.223,84.7,official,4.767976883966941,4.924412405619909
1980-11-01,1.222,85.6,official,4.713988684672897,4.872088475635771
1980-12-01,1.231,86.4,official,4.704737585462962,4.825014462416972
1981-01-01,1.269,87.2,official,4.805473997889907,4.795069858336476
1981-02-01,1.353,88.0,official,5.076988958999999,4.819015423314041
1981-03-01,1.388,88.6,official,5.173051937155756,4.873703008024743
1981-04-01,1.381,89.1,official,5.118079988597081,4.9320535254631
1981-05-01,1.37,89.7,official,5.043351278483835,4.986947291098256
1981-06-01,1.362,90.5,official,4.96957927478453,5.031087572651852
1981-07-01,1.353,91.5,official,4.882787195540983,5.043973105593697
1981-08-01,1.348,92.2,official,4.827808840260303,5.002443085803748
1981-09-01,1.358,93.1,official,4.816606677894737,4.943035542593578
1981-10-01,1.353,93.4,official,4.7834585480942176,4.887265302509768
1981-11-01,1.351,93.8,official,4.7560192650746265,4.839376633608233
1981-12-01,1.348,94.1,official,4.730329171859723,4.799501616454099
1982-01-01,1.341,94.4,official,4.690810385847456,4.767505481505178
1982-02-01,1.318,94.7,official,4.59575137436114,4.72882923718865
1982-03-01,1.268,94.7,official,4.421405722829989,4.662962411344526
1982-04-01,1.21,95.0,official,4.205841088842104,4.566692834802507
1982-05-01,1.224,95.9,official,4.214576149489051,4.476452315538244
1982-06-01,1.296,97.0,official,4.411886809731958,4.423378588516949
