date,gas_nominal,cpi,gas_real,gas_real_12mo
1976-01-01,0.605,55.8,3.581133781362007,3.581133781362007
1976-02-01,0.6,55.9,3.545184257602862,3.5631590194824345
1976-03-01,0.594,56.0,3.5034650357142856,3.543261024893052
1976-04-01,0.592,56.1,3.4854448484848484,3.5288069807910007
1976-05-01,0.6,56.4,3.5137553191489364,3.5257966484625882
1976-06-01,0.616,56.7,3.5883683950617282,3.5362252728957784
1976-07-01,0.623,57.0,3.610044543859649,3.5410437333120517
1976-08-01,0.628,57.3,3.6199651657940666,3.5535072180105858
1976-09-01,0.63,57.6,3.6125796875,3.5716929933082047
1976-10-01,0.629,57.9,3.5881571157167533,3.5888117045135224
1976-11-01,0.629,58.1,3.575805456110155,3.599153394007059
1976-12-01,0.626,58.4,3.54046948630137,3.5911702425469993
1977-01-01,0.627,58.7,3.5280018909710393,3.5774964670655636
1977-02-01,0.637,59.3,3.5480040640809447,3.565502950113377
1977-03-01,0.643,59.6,3.5633959563758393,3.5573056615926837
1977-04-01,0.651,60.0,3.5836790500000006,3.556559317306558
1977-05-01,0.659,60.2,3.615665897009967,3.563202724123194
1977-06-01,0.665,60.5,3.6304933057851243,3.5782066940371524
1977-07-01,0.667,60.8,3.62344458881579,3.594113810344611
1977-08-01,0.667,61.1,3.605653535188216,3.6037220555291563
1977-09-01,0.666,61.3,3.5885014355628067,3.607906302060318
1977-10-01,0.665,61.6,3.565663068181818,3.604903638423954
1977-11-01,0.664,62.0,3.537331483870968,3.591847902900787
1977-12-01,0.665,62.3,3.5255994382022475,3.5743655916369748
1978-01-01,0.648,62.7,3.4135544497607655,3.5393839017944706
1978-02-01,0.647,63.0,3.3920566825396827,3.503784426353048
1978-03-01,0.647,63.4,3.3706556940063095,3.4674768027602987
1978-04-01,0.649,63.9,3.354619045383412,3.432302798960565
1978-05-01,0.655,64.5,3.3541382170542637,3.4017705878244473
1978-06-01,0.663,65.0,3.3689886,3.375668781457405
1978-07-01,0.674,65.5,3.3987401832061073,3.3731997370316296
1978-08-01,0.682,65.9,3.4182067678300454,3.377558084580023
1978-09-01,0.688,66.5,3.417166676691729,3.385309915027593
1978-10-01,0.69,67.1,3.3964555886736214,3.3922826722426276
1978-11-01,0.695,67.5,3.4007945925925926,3.400058734832349
1978-12-01,0.705,67.9,3.4294044918998527,3.4101280501489915
1979-01-01,0.716,68.5,3.4524056642335763,3.419072296986903
1979-02-01,0.73,69.2,3.484304768786127,3.430088630479583
1979-03-01,0.755,69.9,3.567542417739628,3.4551512539875664
1979-04-01,0.802,70.6,3.752053626062324,3.5144175935523503
1979-05-01,0.844,71.4,3.904303809523809,3.598335796374219
1979-06-01,0.901,72.2,4.121800457063712,3.7137351239015293
1979-07-01,0.949,73.0,4.2938089999999995,3.853969013195933
1979-08-01,0.988,73.7,4.427808466757123,4.011219629524433
1979-09-01,1.02,74.4,4.528210483870968,4.171330973879655
1979-10-01,1.028,75.2,4.515175585106383,4.298517967053665
1979-11-01,1.041,76.0,4.524144907894737,4.401824816782153
1979-12-01,1.065,76.9,4.574278868660597,4.477237885381634
1980-01-01,1.131,78.0,4.7892485,4.559811135381635
1980-02-01,1.207,79.0,5.046375329113924,4.662905612441102
1980-03-01,1.252,80.1,5.16263215980025,4.768642558429315
1980-04-01,1.264,80.9,5.160572954264524,4.876208786622339
1980-05-01,1.266,81.7,5.118126536107711,4.975205724657834
1980-06-01,1.269,82.5,5.080506872727272,5.059577058668947
1980-07-01,1.271,82.6,5.082353547215496,5.10842789987153
1980-08-01,1.267,83.2,5.029822487980769,5.105669093016004
1980-09-01,1.257,83.9,4.948489880810488,5.069978713184376
1980-10-01,1.25,84.7,4.874453955135774,5.022292213329585
1980-11-01,1.25,85.6,4.8232038551401875,4.973138433168331
1980-12-01,1.258,86.4,4.80912724537037,4.927908495275514
1981-01-01,1.298,87.2,4.9165173623853216,4.900269131137152
1981-02-01,1.382,88.0,5.187101431818181,4.926482288443387
1981-03-01,1.417,88.6,5.282451252821671,4.982142517111917
1981-04-01,1.412,89.1,5.234272906846241,5.042112342396996
1981-05-01,1.4,89.7,5.155074693422519,5.097424148777384
1981-06-01,1.391,90.5,5.0766581546961325,5.142012633665011
1981-07-01,1.382,91.5,4.988687715846995,5.154041025908623
1981-08-01,1.376,92.2,4.92931852494577,5.111077208096554
1981-09-01,1.376,93.1,4.881666680988185,5.04427977945764
1981-10-01,1.371,93.4,4.848305171306209,4.979951823534302
1981-11-01,1.369,93.8,4.820587601279318,4.924203974843768
1981-12-01,1.365,94.1,4.7911790116896915,4.876624117676028
1982-01-01,1.358,94.4,4.751460741525424,4.837086288622433
1982-02-01,1.334,94.7,4.65270181626188,4.790983503841784
1982-03-01,1.284,94.7,4.478312692713833,4.723757839129392
1982-04-01,1.225,95.0,4.259041315789474,4.62554719654327
1982-05-01,1.237,95.9,4.260400844629823,4.532182737101688
1982-06-01,1.309,97.0,4.457252958762886,4.47652839494722
1982-07-01,1.331,97.5,4.508922902564103,4.4361054217869995
1982-08-01,1.323,97.7,4.472647277379734,4.406096331973309
1982-09-01,1.307,97.7,4.418556305015352,4.396136934023562
1982-10-01,1.295,98.1,4.360136952089705,4.412986206740267
1982-11-01,1.283,98.0,4.3241420306122444,4.423609737737338
1982-12-01,1.26,97.7,4.259664073694984,4.390678256892687
1983-01-01,1.23,97.9,4.149748621041879,4.330815876638983
1983-02-01,1.187,98.0,4.000589704081633,4.252139614422632
1983-03-01,1.152,98.1,3.8786700917431194,4.162158578877261
1983-04-01,1.215,98.8,4.061801568825912,4.112436014999962
1983-05-01,1.259,99.2,4.191924264112903,4.090399720583405
1983-06-01,1.277,99.4,4.243301418511066,4.087672611386085
1983-07-01,1.288,99.8,4.262699238476954,4.1064977142919314
1983-08-01,1.285,100.1,4.240025024975025,4.1464036011074965
1983-09-01,1.274,100.4,4.191168147410359,4.19848661038537
1983-10-01,1.255,100.8,4.1122789186507935,4.20689950202285
1983-11-01,1.241,101.1,4.05433840751731,4.183968525923585
1983-12-01,1.231,101.4,4.009770049309665,4.145046631056684
1984-01-01,1.216,102.1,3.933754045053869,4.090222432152837
1984-02-01,1.209,102.6,3.8920490935672523,4.032226443584875
1984-03-01,1.21,102.9,3.8839118561710397,3.9810170617116554
1984-04-01,1.227,103.3,3.9232285672797684,3.9495086698164843
1984-05-01,1.236,103.5,3.944368579710145,3.931180365181957
1984-06-01,1.229,103.7,3.9144657377049183,3.9152963132478322
1984-07-01,1.212,104.1,3.845486224783862,3.900585009869497
1984-08-01,1.196,104.4,3.783816360153257,3.8825462209671655
1984-09-01,1.203,104.7,3.7950571060171923,3.8677370959415236
1984-10-01,1.209,105.1,3.799469429115129,3.8471105729140844
1984-11-01,1.207,105.3,3.7859795916429255,3.8207124082362136
1984-12-01,1.193,105.5,3.7349720284360193,3.790796790024731
1985-01-01,1.148,105.7,3.5872882119205296,3.7477637878808423
1985-02-01,1.131,106.3,3.5142180903104423,3.7028307429070395
1985-03-01,1.159,106.8,3.5843594288389515,3.667714463377333
1985-04-01,1.205,107.0,3.7196548130841127,3.6544120273721634
1985-05-01,1.231,107.2,3.7928235354477615,3.6555526846729696
1985-06-01,1.241,107.5,3.812963841860465,3.66855132024371
1985-07-01,1.242,107.7,3.8089499164345404,3.705494937662712
1985-08-01,1.229,107.9,3.762095430954588,3.74680782777007
1985-09-01,1.216,108.1,3.715414320074006,3.7686503096425787
1985-10-01,1.204,108.5,3.6651868387096775,3.7595723139135067
1985-11-01,1.207,109.0,3.6574646880733948,3.7370125060177783
1985-12-01,1.208,109.5,3.643780310502283,3.7088152507914143
1986-01-01,1.194,109.9,3.588442602365787,3.6720640317799558
1986-02-01,1.12,109.7,3.3721801276207843,3.6070781478909884
1986-03-01,0.981,109.1,2.969912309807516,3.482827812846574
1986-04-01,0.888,108.7,2.698253762649494,3.3216723001698765
1986-05-01,0.923,109.0,2.79688476146789,3.178242312402293
